variable,question,options
"Q0","Trinken Sie alkoholhaltiges oder alkoholfreies Bier bzw. bierhaltige Getränke?","['Ja(1)', 'Nein(2)']"
"Q1","Wie häufig trinken Sie grundsätzlich alkoholfreies oder alkoholhaltiges Bier bzw. bierhaltige Getränke?","['täglich(1)', 'mehrmals pro Woche(2)', 'mehrmals im Monat(3)', 'einmal pro Monat(4)', 'seltener als einmal pro Monat(5)']"
"Q2A","in Gesellschaft bei Freunden/Familie","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q2B","auf privaten Partys oder Feiern","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q2C","zuhause beim Essen","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q2D","zuhause zur Entspannung","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q2E","bei öffentlichen Veranstaltungen (Sport, Kultur, Musik etc.)","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q2F","in Bars, Restaurants, Pubs, Clubs etc.","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q2G","im Urlaub im Hotel, am Strand etc.","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q3","Nennen Sie uns Ihre bevorzugte(n) Lieblingsmarke(n) für Bier bzw. bierhaltige Getränke","[]"
"Q4A","Stationärer Lebensmittelhandel (Supermarkt, Verbrauchermarkt, Discounter)","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q4B","Stationärer Getränkefachhandel/-abholmärkte","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q4C","Tankstelle","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q4D","Gastronomie/Hotellerie","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q4E","Kiosk/Späti/Büdchen/24×7 Store","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q4F","direkt in der Brauerei","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q4G","Mensa/Kantine/Verpflegungsautomat","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q4H","Lieferservice/Online-Lebensmittelhandel","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']"
"Q5","Wie wichtig ist Ihnen, dass die von Ihnen konsumierten Biere bzw. bierhaltigen Getränke alkoholfrei sind?","['völlig unwichtig(1)', 'eher unwichtig(2)', 'indifferent(3)', 'eher wichtig(4)', 'äußerst wichtig(5)', 'keine Angabe(-99)']"
"Q6A","Ich besitze ein großes Interesse an Bier oder bierhaltigen Getränken.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q6B","Bier und bierhaltige Getränke spielen eine große Rolle in meinem Leben.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q6C","Es macht mir großen Spaß ein Bier oder bierhaltiges Getränk zu konsumieren.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q6D","Der Konsum von Bier oder bierhaltigen Getränken ist sehr wichtig für mich.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q6E","Der Konsum von Bier oder bierhaltigen Getränken ist sehr vorteilhaft für mich.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q6F","Auf den Konsum von Bier oder bierhaltigen Getränken kann ich auf keinen Fall verzichten.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q7A","Gesunde Ernährung ist mir sehr wichtig.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q7B","Mir ist es sehr wichtig, dass Getränke umweltfreundlich hergestellt und vertrieben werden.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q7C","Ich probiere sehr gerne neue Produkte oder Geschmacksrichtungen aus.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q7D","Für biologisch produzierte Getränke bin ich bereit, einen adäquaten Mehrpreis zu zahlen.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q7E","Mir ist es sehr wichtig, dass bei der Herstellung von Getränken keine Inhaltsstoffe tierischen Ursprungs verwendet werden.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q7F","Mir ist es sehr wichtig, beim Konsum von Getränken völlig auf Alkohol zu verzichten.","['trifft überhaupt nicht zu(1)', 'trifft eher nicht zu(2)', 'teils teils(3)', 'trifft eher zu(4)', 'trifft voll und ganz zu(5)', 'keine Angabe(-99)']"
"Q8A","Geschmack des Getränks","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8B","Geruch/Aroma des Getränks","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8C","Kaufpreis des Getränks","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8D","Bekanntheit der Marke","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8E","Nachhaltige Produktion des Getränks","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8F","Herkunftsregion der Marke","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8G","Design der Verpackung","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8H","Verpackungsgröße/-form","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8I","Aktionsangebot im Handel","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8J","Alkoholgehalt des Getränks","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8K","Empfehlung von Dritten","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q8L","Verfügbarkeit im Handel","['sehr geringer Einfluss(1)', 'geringer Einfluss(2)', 'mittlerer Einfluss(3)', 'starker Einfluss(4)', 'sehr starker Einfluss(5)', 'keine Angabe(-99)']"
"Q9A","Alkoholfreies Bier oder alkoholfreie Biermischgetränke","['sehr niedrige Präferenz(1)', 'niedrige Präferenz(2)', 'mittlere Präferenz(3)', 'hohe Präferenz(4)', 'sehr hohe Präferenz(5)', 'keine Angabe(-99)']"
