variable,summary
"Q0","Bierkonsum Ja/Nein"
"Q1","Häufigkeit Bierkonsum"
"Q2A","Konsum mit Freunden"
"Q2B","Konsum auf Partys"
"Q2C","Konsum beim Essen"
"Q2D","Entspannung zuhause"
"Q2E","Konsum bei Events"
"Q2F","Konsum in Gastronomie"
"Q2G","Konsum im Urlaub"
"Q3","Lieblingsbiermarke(n)"
"Q4A","Kauf im Supermarkt"
"Q4B","Kauf im Getränkefachhandel"
"Q4C","Kauf an Tankstelle"
"Q4D","Kauf in Gastronomie"
"Q4E","Kiosk-Kauf"
"Q4F","Kauf direkt Brauerei"
"Q4G","Kantinen-Kauf"
"Q4H","Online-Lieferservice"
"Q5","Alkoholfrei Wichtigkeit"
"Q6A","Interesse an Bier"
"Q6B","Bierrolle im Leben"
"Q6C","Spaß am Konsum"
"Q6D","Konsumwichtigkeit"
"Q6E","Konsumvorteil"
"Q6F","Unverzichtbarer Konsum"
"Q7A","Gesunde Ernährung"
"Q7B","Umweltfreundliche Getränke"
"Q7C","Neugier auf Neues"
"Q7D","Bio-Mehrpreis Bereitschaft"
"Q7E","Vegane Inhaltsstoffe wichtig"
"Q7F","Alkoholverzicht Wunsch"
"Q8A","Einfluss Geschmack"
"Q8B","Einfluss Aroma"
"Q8C","Einfluss Preis"
"Q8D","Einfluss Markenbekanntheit"
"Q8E","Einfluss Nachhaltigkeit"
"Q8F","Einfluss Herkunft"
"Q8G","Einfluss Verpackungsdesign"
"Q8H","Einfluss Verpackungsgröße"
"Q8I","Einfluss Aktionsangebot"
"Q8J","Einfluss Alkoholgehalt"
"Q8K","Einfluss Empfehlung"
"Q8L","Einfluss Verfügbarkeit"
"Q9A","Präferenz alkoholfrei"
"Q9B","Präferenz Weizenbier"
"Q9C","Präferenz Kölsch"
"Q9D","Präferenz Altbier"
"Q9E","Präferenz Pale Ale"
"Q9F","Präferenz Stout"
"Q9G","Präferenz Kellerbier"
"Q9H","Präferenz Radler"
"Q9I","Präferenz Pils"
"Q9J","Präferenz Bockbier"
"Q9K","Präferenz Helles"
"Q9L","Präferenz Craft Beer"
"Q10A","Präferenz 0 % Bier"
"Q10B","Präferenz ≤ 0,5 % Bier"
"Q10C","Präferenz alkoholhaltig"
"Q11A","Präferenz rauchig"
"Q11B","Präferenz hopfig"
"Q11C","Präferenz malzig"
"Q11D","Präferenz fruchtig"
"Q11E","Präferenz kräuterig"
"Q11F","Präferenz würzig"
"Q11G","Präferenz bitter"
"Q11H","Präferenz säuerlich"
"Q11I","Präferenz Zitrus"
"Q12A","Werbung TV/Radio"
"Q12B","Werbung Social Media"
"Q12C","Influencer-Empfehlung"
"Q12D","Werbung Print"
"Q12E","Werbung Außenmedien"
"Q12F","Werbung Sportstätten"
"Q12G","Promotion im Handel"
"Q12H","Werbung E-Mail/App"
"Q12I","Werbung Hauswurfsendungen"
"Q13","Geschlecht"
"Q14","Geburtsjahr"
"Q15","Bundesland"
"Q16","Beschäftigungssituation"
"Q17A","allein lebend"
"Q17B","mit Kind(ern) lebend"
"Q17C","mit Eltern lebend"
"Q17D","mit Partner leben"
"Q17E","mit Mitbewohnern leben"
