Column,Mean_Stuttgart,Std_Stuttgart,Min_Stuttgart,Max_Stuttgart,Mode_Stuttgart,Frequency_Stuttgart,Mean_Mainz,Std_Mainz,Min_Mainz,Max_Mainz,Mode_Mainz,Frequency_Mainz,variable,question,options,variable_short,summary,Mean_Diff,Std_Diff,Mode_Diff
Q1,3.13,1.1371455491712572,1.0,5.0,3.0,38,3.5,1.2,1.0,5.0,4.0,40,Q1,Wie häufig trinken Sie grundsätzlich alkoholfreies oder alkoholhaltiges Bier bzw. bierhaltige Getränke?,"['täglich(1)', 'mehrmals pro Woche(2)', 'mehrmals im Monat(3)', 'einmal pro Monat(4)', 'seltener als einmal pro Monat(5)']",Q1,Häufigkeit Bierkonsum,0.3700000000000001,0.06285445082874275,1.0
Q2A,2.39,0.563826214360418,1.0,3.0,2.0,53,2.39,0.563826214360418,1.0,3.0,2.0,53,Q2A,in Gesellschaft bei Freunden/Familie,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q2A,Konsum mit Freunden,0.0,0.0,0.0
Q2B,2.58,0.5509990925582365,1.0,3.0,3.0,61,2.58,0.5509990925582365,1.0,3.0,3.0,61,Q2B,auf privaten Partys oder Feiern,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q2B,Konsum auf Partys,0.0,0.0,0.0
Q2C,1.42,0.5509990925582365,1.0,3.0,1.0,61,1.2,0.5509990925582365,1.0,3.0,1.0,70,Q2C,zuhause beim Essen,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q2C,Konsum beim Essen,-0.21999999999999997,0.0,0.0
Q2D,1.4,0.5656854249492381,1.0,3.0,1.0,64,1.2,0.5656854249492381,1.0,3.0,1.0,72,Q2D,zuhause zur Entspannung,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q2D,Entspannung zuhause,-0.19999999999999996,0.0,0.0
Q2E,2.23,0.7050531894828929,1.0,3.0,2.0,45,2.23,0.7050531894828929,1.0,3.0,2.0,45,Q2E,"bei öffentlichen Veranstaltungen (Sport, Kultur, Musik etc.)","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q2E,Konsum bei Events,0.0,0.0,0.0
Q2F,2.44,0.6681317235396027,1.0,3.0,3.0,54,2.44,0.6681317235396027,1.0,3.0,3.0,54,Q2F,"in Bars, Restaurants, Pubs, Clubs etc.","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q2F,Konsum in Gastronomie,0.0,0.0,0.0
Q2G,2.25,0.698212002188447,1.0,3.0,2.0,45,2.25,0.698212002188447,1.0,3.0,2.0,45,Q2G,"im Urlaub im Hotel, am Strand etc.","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q2G,Konsum im Urlaub,0.0,0.0,0.0
Q4A,2.63,0.5771481612203231,1.0,3.0,3.0,68,2.8,0.5771481612203231,1.0,3.0,3.0,68,Q4A,"Stationärer Lebensmittelhandel (Supermarkt, Verbrauchermarkt, Discounter)","['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4A,Kauf im Supermarkt,0.16999999999999993,0.0,0.0
Q4B,2.12,0.7249827584156744,1.0,3.0,2.0,46,1.8,0.7249827584156744,1.0,3.0,2.0,50,Q4B,Stationärer Getränkefachhandel/-abholmärkte,"['nie(1)', 'gelegentlich(2)', 'häufig(3)', 'keine Angabe(-99)']",Q4B,Kauf im Getränkefachhandel,-0.32000000000000006,0.0,0.0
