Column,Mean,Std,Min,Max,Mode,Frequency
Q1,3.098360655737705,1.03260867446893,1.0,5.0,3.0,216
Q2A,2.442622950819672,0.5703009807736236,1.0,3.0,3.0,235
Q2B,2.662551440329218,0.5150486639283864,1.0,3.0,3.0,332
Q2C,1.378099173553719,0.5643073242390105,1.0,3.0,1.0,321
Q2D,1.3443983402489628,0.5710075632186992,1.0,3.0,1.0,340
Q2E,2.254166666666667,0.6914202300959547,1.0,3.0,2.0,220
Q2F,2.4915611814345993,0.6038394504109491,1.0,3.0,3.0,260
Q2G,2.1953290870488322,0.7235105374866847,1.0,3.0,2.0,207
Q4A,2.663157894736842,0.5397789498295601,1.0,3.0,3.0,331
Q4B,2.0903361344537816,0.7527011655833274,1.0,3.0,2.0,203
Q4C,1.3768736616702355,0.5816770108475842,1.0,3.0,1.0,315
Q4D,1.9395833333333334,0.6765501286293312,1.0,3.0,2.0,259
Q4E,1.6469344608879493,0.6796653821642482,1.0,3.0,1.0,222
Q4F,1.2478813559322033,0.5130936960079351,1.0,3.0,1.0,373
Q4G,1.0689655172413792,0.29316587071154077,1.0,3.0,1.0,437
Q4H,1.0747863247863247,0.32845911955264534,1.0,3.0,1.0,442
Q5,2.0767634854771786,1.1590373012867639,1.0,5.0,1.0,202
Q6A,2.9414225941422596,1.2985718914669842,1.0,5.0,2.0,120
Q6B,2.363256784968685,1.2347761806701292,1.0,5.0,2.0,152
Q6C,3.6289308176100628,1.1733389427678205,1.0,5.0,4.0,150
Q6D,2.4219409282700424,1.2739144235183872,1.0,5.0,1.0,143
Q6E,2.291304347826087,1.1385168058453878,1.0,5.0,2.0,144
Q6F,2.2848101265822787,1.344120886501423,1.0,5.0,1.0,184
Q7A,3.576842105263158,1.0228871020498118,1.0,5.0,4.0,203
Q7B,2.81505376344086,1.192735395381711,1.0,5.0,4.0,127
Q7C,3.463157894736842,1.1100853952382659,1.0,5.0,4.0,159
Q7D,2.8143459915611815,1.1408820882253212,1.0,5.0,2.0,127
Q7E,2.425213675213675,1.3636316910862125,1.0,5.0,1.0,156
Q7F,2.0,1.0457614552452177,1.0,5.0,1.0,184
Q8A,4.578021978021978,0.7070759727454783,1.0,5.0,5.0,310
Q8B,3.524822695035461,1.124363286594688,1.0,5.0,4.0,144
Q8C,3.6205357142857144,0.9756441931169372,1.0,5.0,4.0,173
Q8D,2.619047619047619,1.0759328738539704,1.0,5.0,2.0,152
Q8E,2.278772378516624,0.9642504871151293,1.0,5.0,2.0,179
Q8F,3.014218009478673,1.2328776872783862,1.0,5.0,2.0,117
Q8G,2.8404761904761906,1.0883543934895172,1.0,5.0,2.0,144
Q8H,2.762135922330097,1.0471712799295856,1.0,5.0,2.0,142
Q8I,3.3995215311004783,1.1796433882814397,1.0,5.0,4.0,126
Q8J,2.5437352245862885,1.1321883544765035,1.0,5.0,2.0,155
Q8K,3.355658198614319,1.0242755314771794,1.0,5.0,3.0,147
Q8L,3.346330275229358,1.167278127225767,1.0,5.0,4.0,138
Q9A,2.0754716981132075,1.2206925803710573,1.0,5.0,1.0,215
Q9B,3.25531914893617,1.3314001016033388,1.0,5.0,3.0,118
Q9C,2.0563063063063063,1.1902466143745665,1.0,5.0,1.0,202
Q9D,1.6174334140435835,0.9289759465503623,1.0,5.0,1.0,252
Q9E,1.7024390243902439,1.034487885748034,1.0,5.0,1.0,244
Q9F,1.7175925925925926,1.0437598201561418,1.0,5.0,1.0,255
Q9G,2.661504424778761,1.3261903635023342,1.0,5.0,1.0,122
Q9H,3.0332640332640333,1.3566716130139473,1.0,5.0,4.0,124
Q9I,2.8403361344537816,1.331295804227862,1.0,5.0,3.0,123
Q9J,1.6764044943820224,1.0060652182652865,1.0,5.0,1.0,260
Q9K,3.7674418604651163,1.2809049077646295,1.0,5.0,5.0,174
Q9L,1.7981438515081207,1.0515088992990653,1.0,5.0,1.0,232
Q10A,1.9934497816593886,1.1750323328527623,1.0,5.0,1.0,212
Q10B,2.2603938730853392,1.1828573873928112,1.0,5.0,1.0,156
Q10C,3.809421841541756,1.1137441626627145,1.0,5.0,5.0,153
Q11A,1.8681818181818182,0.9946949778627101,1.0,5.0,1.0,200
Q11B,2.960698689956332,1.2580529018137336,1.0,5.0,4.0,138
Q11C,2.9094922737306845,1.162931510191346,1.0,5.0,3.0,147
Q11D,3.186147186147186,1.1540660383208208,1.0,5.0,4.0,155
Q11E,2.0268456375838926,0.9883603448065305,1.0,5.0,1.0,162
Q11F,2.081818181818182,0.9863008655530847,1.0,5.0,2.0,150
Q11G,2.091304347826087,1.0480454028475374,1.0,5.0,1.0,168
Q11H,2.044543429844098,0.9556097663028505,1.0,5.0,2.0,187
Q11I,3.1161290322580646,1.1942111018277244,1.0,5.0,4.0,152
Q12A,2.4578005115089514,1.0754292028574972,1.0,5.0,2.0,145
Q12B,2.4814814814814814,1.1422479910454229,1.0,5.0,2.0,127
Q12C,2.352185089974293,1.1629488853699907,1.0,5.0,2.0,123
Q12D,1.9436997319034852,0.9301082350734999,1.0,5.0,2.0,155
Q12E,2.54320987654321,1.0950991491353035,1.0,5.0,2.0,155
Q12F,2.530456852791878,1.1745114492605058,1.0,5.0,2.0,124
Q12G,2.4318766066838045,1.1813027166845032,1.0,5.0,2.0,127
Q12H,1.5201149425287357,0.7377416966375383,1.0,5.0,1.0,204
Q12I,3.2776470588235296,1.1464029543006686,1.0,5.0,4.0,127
Q13,1.3229813664596273,0.47688239551711853,1.0,3.0,1.0,329
Q14,8.676409185803758,2.7952602680444465,2.0,15.0,10.0,77
Q15,1.5841995841995842,2.2224423112310085,1.0,17.0,1.0,417
Q16,2.556935817805383,1.5305900639965226,1.0,9.0,3.0,249
Q17A,0.2711864406779661,0.4450437980145448,0.0,1.0,0.0,344
Q17B,0.00847457627118644,0.09176381682545867,0.0,1.0,0.0,468
Q17C,0.3940677966101695,0.48916799642576186,0.0,1.0,0.0,286
Q17D,0.2033898305084746,0.40294714786531866,0.0,1.0,0.0,376
Q17E,0.1716101694915254,0.3774413138145702,0.0,1.0,0.0,391
