Column,Mean,Std,Min,Max,Mode,Frequency
Q1,3.13,1.1371455491712572,1.0,5.0,3.0,38
Q2A,2.39,0.563826214360418,1.0,3.0,2.0,53
Q2B,2.58,0.5509990925582365,1.0,3.0,3.0,61
Q2C,1.42,0.5509990925582365,1.0,3.0,1.0,61
Q2D,1.4,0.5656854249492381,1.0,3.0,1.0,64
Q2E,2.23,0.7050531894828929,1.0,3.0,2.0,45
Q2F,2.44,0.6681317235396027,1.0,3.0,3.0,54
Q2G,2.25,0.698212002188447,1.0,3.0,2.0,45
Q4A,2.63,0.5771481612203231,1.0,3.0,3.0,68
Q4B,2.12,0.7249827584156744,1.0,3.0,2.0,46
Q4C,1.47,0.6396092557178953,1.0,3.0,1.0,61
Q4D,1.99,0.6556675987114203,1.0,3.0,2.0,57
Q4E,1.67,0.6173329733620261,1.0,3.0,2.0,51
Q4F,1.26,0.5219195340279955,1.0,3.0,1.0,78
Q4G,1.09,0.31921779399024736,1.0,3.0,1.0,92
Q4H,1.13,0.41605288125429446,1.0,3.0,1.0,90
Q5,2.2,1.2328828005937953,1.0,5.0,1.0,41
Q6A,3.02,1.3264991519032343,1.0,5.0,2.0,24
Q6B,2.44,1.2515590277729614,1.0,5.0,2.0,34
Q6C,3.65,1.1863810517704674,1.0,5.0,5.0,31
Q6D,2.56,1.290891165048394,1.0,5.0,2.0,32
Q6E,2.3,1.1,1.0,5.0,2.0,31
Q6F,2.31,1.2057777573002415,1.0,5.0,2.0,32
Q7A,3.55,1.0136567466356647,1.0,5.0,4.0,35
Q7B,2.79,1.1941105476462386,1.0,5.0,3.0,28
Q7C,3.64,1.034601372510205,1.0,5.0,4.0,35
Q7D,2.7,1.1445523142259597,1.0,5.0,2.0,27
Q7E,2.53,1.3817018491700734,1.0,5.0,1.0,31
Q7F,2.06,1.018037327409953,1.0,5.0,2.0,36
Q8A,4.44,0.8979977728257459,1.0,5.0,5.0,64
Q8B,3.55,1.0331989159885913,1.0,5.0,4.0,33
Q8C,3.6,1.0583005244258363,1.0,5.0,4.0,35
Q8D,2.63,1.0065286881157438,1.0,5.0,2.0,39
Q8E,2.27,0.968039255402383,1.0,5.0,2.0,44
Q8F,2.89,1.1652896635600953,1.0,5.0,2.0,32
Q8G,2.68,1.1391224692718513,1.0,5.0,2.0,36
Q8H,2.78,1.073126274023705,1.0,5.0,3.0,34
Q8I,3.2,1.2489995996796797,1.0,5.0,4.0,27
Q8J,2.56,1.1341957503006261,1.0,5.0,2.0,36
Q8K,3.33,1.0682228231974826,1.0,5.0,3.0,38
Q8L,3.12,1.2023310692151308,1.0,5.0,3.0,26
Q9A,2.17,1.217004519301387,1.0,5.0,1.0,39
Q9B,3.22,1.2375782803523985,1.0,5.0,3.0,29
Q9C,1.92,1.0925200226998129,1.0,5.0,1.0,49
Q9D,1.54,0.8651011501552868,1.0,5.0,1.0,66
Q9E,1.58,0.9293008124391156,1.0,5.0,1.0,65
Q9F,1.53,0.8655056325639944,1.0,5.0,1.0,65
Q9G,2.38,1.3249905660041508,1.0,5.0,1.0,39
Q9H,3.0,1.3266499161421599,1.0,5.0,3.0,29
Q9I,2.67,1.257417989373462,1.0,5.0,3.0,27
Q9J,1.59,0.8728688332160796,1.0,5.0,1.0,61
Q9K,3.6,1.3490737563232043,1.0,5.0,5.0,34
Q9L,1.67,0.9171150418568,1.0,5.0,1.0,57
Q10A,2.14,1.2084701072016635,1.0,5.0,1.0,39
Q10B,2.56,1.2191800523302536,1.0,5.0,2.0,29
Q10C,3.8,1.1135528725660044,1.0,5.0,4.0,36
Q11A,1.9,0.9539392014169457,1.0,4.0,1.0,44
Q11B,2.88,1.193984924527944,1.0,5.0,4.0,32
Q11C,2.67,1.039759587597056,1.0,5.0,3.0,38
Q11D,3.05,1.12583302491977,1.0,5.0,3.0,30
Q11E,1.96,0.9372299611087984,1.0,4.0,1.0,39
Q11F,2.1,0.9219544457292888,1.0,5.0,2.0,34
Q11G,2.18,1.0428806259586951,1.0,5.0,2.0,34
Q11H,2.15,0.9420721840708386,1.0,5.0,2.0,47
Q11I,3.03,1.2202868515230343,1.0,5.0,4.0,27
Q12A,2.53,1.0904586191139947,1.0,5.0,2.0,36
Q12B,2.34,1.0883014288330233,1.0,5.0,2.0,36
Q12C,2.39,1.2401209618420292,1.0,5.0,1.0,30
Q12D,1.86,0.8834025130143108,1.0,5.0,2.0,45
Q12E,2.37,1.0164152694642088,1.0,5.0,2.0,37
Q12F,2.43,1.2186467905016614,1.0,5.0,2.0,31
Q12G,2.36,1.1271202242884295,1.0,5.0,2.0,36
Q12H,1.57,0.7246378405796925,1.0,4.0,1.0,54
Q12I,3.09,1.1924344845734711,1.0,5.0,4.0,32
Q13,1.32,0.466476151587624,1.0,2.0,1.0,68
Q14,8.68,3.0162228034414174,2.0,15.0,10.0,15
Q15,1.65,2.616772821625905,1.0,17.0,1.0,86
Q16,2.48,1.381882773609976,1.0,9.0,3.0,49
Q17A,0.24,0.4270831300812525,0.0,1.0,0.0,76
Q17B,0.01,0.09949874371066199,0.0,1.0,0.0,99
Q17C,0.44,0.4963869458396343,0.0,1.0,0.0,56
Q17D,0.21,0.4073082370883261,0.0,1.0,0.0,79
Q17E,0.17,0.375632799419859,0.0,1.0,0.0,83
