Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q13,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q17D,Q17E
3,3,2,1,1,2,3,2,3,2,1,2,1,1,1,1,2,2,2,4,4,3,3,2,2,4,4,2,2,5,4,4,2,3,4,2,3,2,2,3,5,1,3,3,3,1,2,1,5,1,1,5,2,3,3,4,3,4,3,2,2,2,3,1,5,2,3,3,1,1,2,3,1,2,1,7,1,4,1,0,0,0,0
2,2,2,1,1,1,2,3,3,3,1,2,2,1,1,1,1,2,3,3,3,2,4,4,5,4,2,1,3,4,3,4,2,2,3,3,2,5,3,2,3,2,3,1,1,1,2,1,3,4,1,1,3,1,3,3,2,4,3,3,2,1,3,2,4,3,2,4,1,2,2,1,1,2,1,5,4,4,0,0,1,1,0
3,2,3,2,2,3,3,3,3,3,2,1,3,2,1,1,3,1,4,3,1,1,2,4,4,3,1,5,2,4,5,3,3,2,4,4,4,3,4,3,5,3,3,1,4,3,1,2,5,4,3,4,2,1,4,5,1,4,3,2,3,2,2,1,3,4,4,1,2,3,2,4,2,3,1,11,1,2,1,0,1,1,0
3,1,3,1,2,2,3,3,3,1,1,2,2,1,1,1,2,3,2,4,4,2,1,3,3,3,1,3,1,5,3,5,4,2,3,2,2,3,5,2,4,2,1,2,1,2,3,4,5,1,1,2,3,1,3,5,2,3,4,3,3,4,2,1,3,1,1,3,3,4,3,1,1,3,1,10,3,2,0,0,1,0,0
3,2,2,1,2,1,2,3,3,1,1,1,2,1,1,1,5,4,3,2,1,1,3,1,2,2,3,5,3,3,2,4,5,1,1,3,2,4,2,4,3,1,3,1,3,1,1,4,4,4,3,4,4,1,1,2,1,5,3,3,1,2,2,2,3,2,3,2,4,4,2,3,1,4,2,9,6,2,0,0,0,1,1
3,3,3,1,1,3,2,2,3,2,1,3,1,1,1,1,1,4,2,5,5,1,2,2,3,4,2,5,3,4,3,4,3,2,4,2,3,5,4,5,5,5,4,2,3,1,2,1,2,4,1,5,2,4,4,3,2,2,3,4,3,1,1,1,3,2,2,3,3,2,2,3,2,5,2,8,2,1,1,0,0,1,0
2,1,3,2,2,2,3,2,3,2,1,2,1,1,1,1,3,2,2,3,2,3,2,5,2,4,3,1,1,3,2,3,3,2,2,3,4,3,4,3,2,2,4,3,2,1,1,3,3,4,1,2,3,2,1,3,2,1,4,4,1,1,1,3,3,2,2,2,1,1,4,2,2,3,1,2,1,2,1,0,1,0,0
2,3,3,2,1,1,2,3,3,1,2,2,1,1,1,1,2,5,3,5,2,3,3,3,2,3,2,3,2,5,3,4,3,3,2,3,2,4,5,3,4,3,3,1,2,3,2,3,4,1,2,3,1,1,2,3,1,1,4,3,4,4,3,2,1,3,3,3,2,4,2,4,1,4,1,12,2,1,0,0,0,1,0
1,2,3,1,1,3,2,3,3,2,2,2,2,2,2,1,2,2,4,3,3,2,2,3,2,3,1,2,3,5,2,4,3,1,2,1,3,4,2,5,5,2,4,2,1,2,2,5,2,4,2,5,2,1,3,5,4,2,2,5,2,2,2,4,4,1,5,2,1,5,1,3,2,4,1,10,1,3,0,0,1,0,0
3,3,3,1,2,3,3,2,3,1,2,1,2,1,1,1,2,2,3,3,4,3,3,3,1,4,2,2,4,3,3,4,3,3,4,3,3,3,1,2,5,2,2,1,2,2,2,4,1,5,1,4,2,4,3,2,2,2,4,4,4,4,1,4,3,4,2,2,2,2,1,3,1,4,1,11,1,3,0,0,1,0,0
